Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Male,40-49,Hispanic,IT,PhD,10,60,No,Yes,Yes,6,19,Yes
Female,30-39,White,IT,Bachelor,21,95,Yes,Yes,Yes,10,17,No
Male,30-39,White,IT,Bachelor,5,95,Yes,No,No,11,18,No
Male,40-49,Hispanic,IT,PhD,27,80,No,Yes,Yes,12,15,Yes
Male,40-49,Asian,Marketing,Master,23,80,Yes,No,No,7,26,Yes
Female,40-49,Asian,HR,PhD,20,60,No,No,Yes,1,13,No
Male,50-59,White,IT,PhD,29,85,Yes,No,No,1,29,Yes
Male,30-39,Asian,Finance,Master,20,70,No,Yes,No,10,28,Yes
Male,50-59,Hispanic,Marketing,PhD,25,80,Yes,Yes,No,2,7,Yes
Female,50-59,Asian,Marketing,PhD,6,70,No,Yes,Yes,10,11,No
Male,40-49,White,IT,PhD,4,90,No,Yes,Yes,3,8,No
Male,40-49,Hispanic,Marketing,Master,2,60,Yes,No,Yes,12,5,Yes
Male,20-29,Asian,IT,Bachelor,22,85,No,No,Yes,1,25,No
Male,20-29,Black,HR,Bachelor,16,90,No,Yes,No,14,17,No
Female,50-59,Hispanic,HR,Master,18,90,No,Yes,No,5,1,No
Male,30-39,Hispanic,Marketing,Bachelor,5,95,No,Yes,No,3,22,Yes
Female,40-49,Black,Marketing,PhD,22,90,Yes,Yes,Yes,1,7,No
Female,40-49,Black,Finance,Bachelor,4,60,No,Yes,Yes,8,23,No
Female,50-59,Hispanic,Marketing,PhD,30,80,Yes,Yes,Yes,12,13,No
Male,20-29,Black,Finance,Bachelor,13,60,Yes,Yes,No,11,5,Yes
Female,30-39,White,HR,Master,19,80,Yes,No,Yes,6,9,No
Male,20-29,White,HR,Bachelor,23,90,Yes,No,Yes,9,7,Yes
Female,20-29,White,IT,Bachelor,2,90,No,No,No,3,29,Yes
Female,20-29,Hispanic,HR,Bachelor,13,85,No,No,No,9,16,No
Female,20-29,Black,Finance,Master,11,80,Yes,Yes,Yes,9,24,Yes
Female,40-49,Black,Marketing,Bachelor,30,90,No,Yes,No,12,28,No
Female,40-49,Asian,IT,Master,22,95,Yes,Yes,Yes,13,11,No
Female,20-29,Asian,Finance,PhD,29,70,No,Yes,No,12,16,No
Female,30-39,Black,Marketing,Bachelor,4,85,No,Yes,No,1,12,No
Female,50-59,Black,IT,Master,22,60,No,No,No,3,18,No
Male,30-39,Black,HR,Master,20,85,Yes,Yes,Yes,6,11,Yes
Male,30-39,Hispanic,Finance,Bachelor,20,70,Yes,No,Yes,8,15,Yes
Female,30-39,Black,Marketing,PhD,15,80,No,Yes,Yes,4,24,No
Female,20-29,Asian,IT,Master,4,60,Yes,No,No,5,26,No
Female,40-49,Hispanic,IT,Bachelor,9,60,Yes,Yes,No,9,4,No
Male,30-39,Black,HR,PhD,7,80,No,No,No,6,24,Yes
Female,20-29,Asian,Marketing,Master,19,85,Yes,Yes,No,12,15,No
Male,30-39,Hispanic,HR,Master,19,90,No,Yes,Yes,7,24,Yes
Male,30-39,Black,HR,PhD,6,85,No,Yes,Yes,7,5,Yes
Male,20-29,Black,Marketing,PhD,6,70,No,Yes,Yes,4,10,Yes
Male,40-49,Black,Marketing,Bachelor,20,95,Yes,No,No,4,16,Yes
Male,40-49,Hispanic,Marketing,Bachelor,15,90,No,Yes,No,4,25,Yes
Female,50-59,Asian,Finance,Master,15,85,No,No,Yes,14,22,No
Female,20-29,Asian,Marketing,PhD,25,95,Yes,Yes,No,11,13,No
Female,50-59,White,IT,PhD,20,95,Yes,No,Yes,5,5,No
Female,50-59,Black,HR,PhD,9,80,Yes,Yes,No,5,24,No
Female,50-59,White,Finance,Master,4,70,Yes,Yes,No,8,22,No
Male,40-49,White,Marketing,PhD,18,70,No,No,Yes,9,29,Yes
Female,20-29,Asian,Finance,PhD,18,70,Yes,Yes,Yes,2,27,No
Female,50-59,Hispanic,Marketing,Master,5,90,Yes,Yes,No,11,10,No
Male,20-29,Hispanic,Finance,Bachelor,20,60,Yes,No,Yes,7,11,Yes
Female,20-29,Asian,HR,Bachelor,23,90,Yes,Yes,Yes,1,12,No
Male,40-49,Hispanic,HR,Master,30,85,No,No,No,1,3,Yes
Female,50-59,White,IT,PhD,11,95,Yes,Yes,No,4,6,No
Male,50-59,Black,IT,Master,5,95,No,No,No,10,1,Yes
